# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-02-27 18:52:41.212
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
116.849828,-0.0545,-0.0724,-0.1693,0.19
116.858260,-0.0432,-0.0585,-0.1428,0.16
116.875698,-0.0192,-0.0304,-0.1075,0.11
116.883681,0.0035,-0.0206,-0.0610,0.06
116.892290,0.0281,-0.0056,-0.0099,0.03
116.907372,0.0508,0.0085,0.0303,0.06
116.915110,0.0674,0.0184,0.0465,0.08
116.925366,0.0709,0.0291,0.0412,0.09
116.930704,0.0668,0.0396,0.0459,0.09
116.941580,0.0573,0.0544,0.0550,0.10
