# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-02-27 18:37:14.916
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.388502,-0.5122,0.0505,-0.2246,0.56
1.397632,-0.5366,0.0864,-0.1870,0.57
1.406378,-0.5292,0.0821,-0.1663,0.56
1.415808,-0.4647,0.0406,-0.1107,0.48
1.430623,-0.3502,-0.0070,0.0346,0.35
1.437447,-0.1922,-0.0197,0.1423,0.24
1.445487,-0.0171,0.0060,0.1824,0.18
1.454607,0.1314,0.0199,0.2150,0.25
1.464221,0.2230,0.0012,0.2355,0.32
1.473873,0.2307,-0.0144,0.2241,0.32
1.488892,0.1838,-0.0631,0.2613,0.33
1.496390,0.2029,-0.1295,0.3581,0.43
1.503917,0.2338,-0.2101,0.4339,0.54
1.521457,0.2316,-0.2688,0.4352,0.56
1.531346,0.2465,-0.2703,0.4555,0.58
1.540177,0.2855,-0.2309,0.5634,0.67
1.555837,0.3771,-0.1687,0.6843,0.80
1.559680,0.4420,-0.0954,0.6830,0.82
1.571954,0.5340,0.0100,0.5259,0.75
1.580719,0.5938,0.0816,0.3359,0.69
1.587941,0.5540,0.0897,0.1857,0.59
1.597362,0.4590,0.1127,0.0754,0.48
1.612059,0.3377,0.1133,0.0584,0.36
1.619571,0.2704,0.1029,0.0492,0.29
1.628104,0.3010,0.1315,-0.0322,0.33
1.636041,0.2975,0.1483,-0.1057,0.35
1.644486,0.2961,0.1774,-0.1774,0.39
1.654797,0.2494,0.1855,-0.2243,0.38
1.664791,0.1733,0.1604,-0.2670,0.36
1.677931,0.1900,0.1745,-0.3855,0.46
1.686800,0.2138,0.1839,-0.5122,0.58
1.696352,0.2022,0.1929,-0.6101,0.67
1.711134,0.0963,0.0721,-0.3836,0.40
1.720418,-0.0650,-0.0508,-0.1438,0.17
1.730671,-0.1863,-0.1405,0.0438,0.24
1.743839,-0.2328,-0.2057,0.1912,0.36
1.752259,-0.2040,-0.1796,0.1874,0.33
1.759482,-0.1496,-0.1321,0.1062,0.23
1.769180,-0.0649,-0.0349,0.1135,0.14
1.777899,0.0266,0.0652,0.1072,0.13
1.787254,0.1195,0.1068,0.1267,0.20
1.796124,0.1795,0.1134,0.1730,0.27
1.811843,0.1322,0.0628,0.1927,0.24
1.818953,-0.0001,-0.0355,0.2151,0.22
1.827801,-0.1347,-0.1236,0.2053,0.27
1.836066,-0.2442,-0.1927,0.1567,0.35
1.844355,-0.3244,-0.2102,0.0866,0.40
1.853933,-0.2965,-0.1789,-0.0190,0.35
1.863600,-0.2319,-0.1388,-0.0613,0.28
1.885333,-0.1288,-0.0929,-0.0772,0.18
1.885608,-0.0164,-0.0429,-0.0788,0.09
1.901900,0.1471,-0.0385,0.1009,0.18
1.911043,0.0761,-0.0974,0.1069,0.16
1.920234,-0.0238,-0.1776,0.0745,0.19
1.934956,-0.0085,-0.1794,0.0112,0.18
1.942178,-0.0343,-0.1901,0.0246,0.19
1.949894,-0.0569,-0.1527,0.0185,0.16
1.959366,-0.0389,-0.0731,0.0018,0.08
1.968300,-0.0186,-0.0161,0.0164,0.03
1.977733,0.0131,0.0182,0.0600,0.06
1.993692,0.0329,0.0085,0.1150,0.12
2.000235,0.0239,0.0010,0.1657,0.17
2.010551,0.0004,-0.0222,0.1618,0.16
2.016877,-0.0123,-0.0301,0.1396,0.14
2.026069,-0.0302,-0.0415,0.1134,0.12
2.035373,-0.0281,-0.0329,0.0489,0.07
2.045165,0.0074,-0.0051,-0.0209,0.02
2.062000,0.0396,0.0115,-0.0625,0.07
2.063450,0.0637,0.0323,-0.0805,0.11
2.076735,-0.0483,0.0217,-0.0696,0.09
2.084426,-0.0774,0.0647,-0.1353,0.17
2.092889,-0.0302,0.0896,-0.1727,0.20
2.111412,0.0387,0.0870,-0.1416,0.17
2.126269,0.0457,0.1006,-0.1393,0.18
2.133395,0.0577,0.1115,-0.1445,0.19
2.143880,0.0643,0.0999,-0.1398,0.18
2.151742,0.0663,0.1043,-0.1026,0.16
2.159249,0.0635,0.0882,-0.0961,0.15
2.167769,0.0570,0.0993,-0.0867,0.14
2.177464,0.0435,0.1058,-0.0696,0.13
2.191589,0.0177,0.0800,-0.0380,0.09
2.200721,-0.0025,0.0489,-0.0039,0.05
2.208474,-0.0244,0.0464,0.0347,0.06
2.217844,-0.0092,0.0325,0.0520,0.06
2.225264,-0.0056,-0.0086,0.0832,0.08
2.234629,-0.0177,-0.0141,0.1263,0.13
2.244359,-0.0370,-0.0266,0.1069,0.12
2.260183,-0.0462,-0.0404,0.0829,0.10
2.265362,-0.0394,-0.0551,0.0885,0.11
2.274569,-0.0473,-0.0530,0.0843,0.11
2.291691,-0.0334,-0.0546,0.0364,0.07
2.302402,-0.0333,-0.0335,0.0442,0.06
2.317137,-0.0312,-0.0654,0.0354,0.08
2.323878,-0.0460,-0.0700,0.0445,0.09
2.333503,-0.0548,-0.0631,0.0174,0.09
2.340931,-0.0548,-0.0237,-0.0123,0.06
2.350521,-0.0252,0.0029,-0.0505,0.06
2.359692,-0.0370,0.0214,-0.0718,0.08
2.367703,0.0003,0.0581,-0.0996,0.12
2.377718,0.0479,0.0653,-0.0918,0.12
2.391454,0.0602,0.0777,-0.0397,0.11
2.400004,0.0516,0.0800,-0.0478,0.11
2.406678,0.0093,0.0730,-0.0783,0.11
2.415665,-0.0001,0.0676,-0.0948,0.12
2.424927,-0.0134,0.0812,-0.0905,0.12
2.434418,-0.0204,0.1018,-0.1015,0.15
2.450920,-0.0315,0.1069,-0.1263,0.17
2.456078,-0.0129,0.1285,-0.1410,0.19
2.466408,0.0103,0.1239,-0.1279,0.18
2.475514,0.0346,0.1377,-0.0932,0.17
2.491468,0.0240,0.0752,-0.0452,0.09
2.501128,0.0285,0.0429,-0.0119,0.05
2.516008,-0.0047,0.0127,0.0221,0.03
2.523388,-0.0464,-0.0005,0.0029,0.05
2.532370,-0.0634,0.0042,-0.0409,0.08
2.539921,-0.0903,-0.0157,-0.0358,0.10
2.548510,-0.0671,-0.0258,-0.0070,0.07
2.558341,-0.0694,-0.0230,0.0261,0.08
2.575018,-0.0649,-0.0190,0.0164,0.07
2.577280,-0.0234,-0.0219,0.0238,0.04
2.591471,0.0228,-0.0423,0.0867,0.10
2.596108,0.0519,-0.0333,0.1516,0.16
2.607200,0.0664,-0.0221,0.1533,0.17
2.616307,0.0403,-0.0248,0.1543,0.16
2.624625,0.0366,-0.0198,0.1450,0.15
2.638520,0.0368,-0.0111,0.1299,0.14
2.647370,0.0348,0.0245,0.1073,0.12
2.655661,0.0312,0.0422,0.0712,0.09
2.664874,0.0439,0.0547,0.0575,0.09
2.675276,0.0929,0.0537,0.0553,0.12
2.683059,0.1144,0.0727,0.0629,0.15
2.696812,0.1134,0.0909,0.0271,0.15
2.711485,0.0866,0.0626,0.0129,0.11
2.722078,0.0207,0.0388,0.0010,0.04
2.729015,-0.0163,0.0483,-0.0646,0.08
2.738611,-0.0710,0.0258,-0.0882,0.12
2.748922,-0.0787,0.0309,-0.1034,0.13
2.764064,-0.0625,0.0139,-0.1330,0.15
2.769641,-0.0623,-0.0208,-0.1088,0.13
2.779714,-0.0136,0.0045,-0.1014,0.10
2.788016,0.0005,-0.0040,-0.1085,0.11
2.796393,-0.0028,-0.0129,-0.0996,0.10
2.805228,0.0003,-0.0193,-0.1273,0.13
2.814170,-0.0503,-0.0396,-0.1306,0.15
2.824211,-0.0599,-0.0369,-0.1174,0.14
2.839210,-0.0412,-0.0223,-0.0901,0.10
2.844851,-0.0515,-0.0039,-0.0586,0.08
2.854991,-0.0146,0.0152,-0.0843,0.09
2.863492,0.0280,0.0164,-0.0458,0.06
2.882610,0.0391,0.0386,0.0502,0.07
2.895497,0.0085,0.0321,0.0479,0.06
2.905929,0.0024,0.0225,0.0792,0.08
2.913005,0.0084,0.0389,0.0716,0.08
2.921636,-0.0232,0.0195,0.0886,0.09
2.930079,-0.0274,0.0074,0.1013,0.11
2.939093,-0.0149,0.0018,0.0938,0.09
2.956162,-0.0191,-0.0008,0.1393,0.14
2.957524,0.0201,0.0284,0.1534,0.16
2.972201,0.0312,0.0322,0.1290,0.14
2.976368,0.0005,0.0138,0.1135,0.11
2.987619,-0.0097,-0.0122,0.0774,0.08
2.999399,-0.0410,-0.0414,0.1014,0.12
3.005645,-0.0643,-0.0337,0.1015,0.12
3.014239,-0.0664,-0.0222,0.0514,0.09
3.028009,-0.0645,-0.0368,0.0372,0.08
3.037696,-0.0420,-0.0388,0.0147,0.06
3.045732,-0.0516,-0.0383,-0.0089,0.06
3.053333,-0.0462,-0.0319,-0.0229,0.06
3.071397,-0.0211,-0.0077,-0.0693,0.07
3.084552,-0.0169,-0.0061,-0.0712,0.07
3.094184,-0.0118,0.0046,-0.0919,0.09
3.103461,-0.0541,-0.0131,-0.0869,0.10
3.111334,-0.0037,-0.0086,-0.0922,0.09
3.119792,0.0307,0.0180,-0.0835,0.09
3.128709,-0.0040,0.0230,-0.0710,0.07
3.138305,0.0275,0.0268,-0.1095,0.12
3.158216,0.0254,0.0269,-0.0991,0.11
3.158314,-0.0016,0.0087,-0.0796,0.08
3.168925,0.0418,0.0204,-0.1172,0.13
3.177146,0.0330,0.0076,-0.0697,0.08
3.185983,0.0090,-0.0047,-0.0188,0.02
3.195086,0.0335,0.0138,-0.0083,0.04
3.204842,-0.0016,-0.0181,0.0306,0.04
3.219168,-0.0490,-0.0362,0.0459,0.08
3.226179,-0.0472,-0.0384,0.0675,0.09
3.236387,-0.0796,-0.0598,0.0986,0.14
3.243828,-0.0598,-0.0312,0.0913,0.11
3.262506,-0.1357,-0.0542,0.1225,0.19
3.277069,-0.0637,-0.0374,0.1219,0.14
3.284060,-0.0801,-0.0338,0.1379,0.16
3.293550,-0.0611,-0.0205,0.0849,0.11
3.302533,-0.0267,0.0046,0.0450,0.05
3.311558,-0.0666,-0.0084,0.0754,0.10
3.319831,-0.0612,0.0068,0.0416,0.07
3.328817,-0.0526,0.0420,0.0025,0.07
3.343876,-0.0894,0.0294,-0.0152,0.10
3.352236,-0.0630,0.0516,-0.0392,0.09
3.359812,-0.0253,0.0731,-0.0696,0.10
3.369613,-0.0192,0.0768,-0.0950,0.12
3.376577,0.0419,0.0835,-0.1348,0.16
3.385315,0.0726,0.0643,-0.1385,0.17
3.395393,0.0848,0.0457,-0.1491,0.18
3.410809,0.0947,0.0386,-0.1649,0.19
3.418049,0.0746,0.0422,-0.1588,0.18
3.423955,0.0552,0.0462,-0.1463,0.16
3.434437,0.0378,0.0148,-0.1209,0.13
3.442954,0.0334,-0.0050,-0.0891,0.10
3.461584,-0.0210,0.0031,-0.0699,0.07
3.474813,-0.0209,-0.0063,-0.0565,0.06
3.482661,-0.0209,-0.0253,-0.0312,0.05
3.492052,-0.0101,-0.0256,-0.0351,0.04
3.501427,-0.0123,-0.0336,-0.0029,0.04
3.509823,-0.0125,-0.0413,0.0325,0.05
3.518918,0.0112,-0.0124,0.0476,0.05
3.534820,0.0048,-0.0474,0.0651,0.08
3.540473,-0.0038,-0.0382,0.0992,0.11
3.551648,0.0064,-0.0139,0.0867,0.09
3.560849,-0.0259,-0.0475,0.1092,0.12
3.566124,-0.0169,-0.0341,0.1445,0.15
3.577196,-0.0404,-0.0299,0.1434,0.15
3.585713,-0.0773,-0.0213,0.1517,0.17
3.601593,-0.0692,-0.0402,0.1434,0.16
3.608490,-0.0463,-0.0371,0.1668,0.18
3.615360,0.0036,-0.0254,0.0919,0.10
3.624750,-0.0301,-0.0440,0.0825,0.10
3.643854,0.0678,-0.0209,0.1184,0.14
3.652290,0.0221,0.0231,0.0737,0.08
3.665786,-0.0240,-0.0242,0.0321,0.05
3.674420,-0.0051,-0.0440,0.0417,0.06
3.683585,0.0036,-0.0216,0.0578,0.06
3.691579,-0.0173,0.0282,0.0530,0.06
3.700117,-0.0297,0.0386,-0.0224,0.05
3.713516,-0.0524,0.0120,-0.0553,0.08
3.723448,0.0045,0.0307,-0.0558,0.06
3.732429,0.0284,0.0323,-0.0754,0.09
3.741199,0.0278,0.0455,-0.1125,0.12
3.748585,0.0240,0.0236,-0.1408,0.14
3.757630,0.0461,0.0268,-0.0763,0.09
3.766436,0.1278,0.0771,-0.0954,0.18
3.775576,0.0748,0.0904,-0.1306,0.18
3.785218,0.0314,0.0308,-0.1422,0.15
3.798695,0.0711,0.0163,-0.1271,0.15
3.805360,0.0485,0.0228,-0.0784,0.09
3.814930,0.0129,0.0453,-0.1129,0.12
3.823327,-0.0489,0.0154,-0.1324,0.14
3.833129,-0.0297,-0.0308,-0.1201,0.13
3.852002,-0.0010,-0.0043,-0.0576,0.06
3.864552,0.0092,-0.0291,-0.0556,0.06
3.872179,0.0149,-0.0121,-0.0434,0.05
3.883026,-0.0010,-0.0501,0.0244,0.06
3.890436,0.0338,-0.0160,0.0511,0.06
3.900204,-0.0461,-0.0388,0.0497,0.08
3.916201,-0.0815,-0.0758,0.0789,0.14
3.920873,-0.0485,-0.0165,0.0398,0.06
3.931735,-0.1000,-0.0453,0.0767,0.13
3.939913,-0.0870,-0.0456,0.1041,0.14
3.948343,-0.0653,-0.0261,0.0431,0.08
3.956038,-0.1177,-0.0408,0.1352,0.18
3.966640,0.0081,0.0078,0.1120,0.11
3.980718,0.0023,0.0262,0.0518,0.06
3.987907,-0.0689,-0.0095,0.0868,0.11
3.996477,0.0504,-0.0088,0.0260,0.06
4.005185,0.0412,-0.0077,0.0515,0.07
4.013945,0.0516,0.0319,0.0612,0.09
4.023449,0.0932,0.1131,-0.0248,0.15
4.042239,0.0943,0.0355,0.0006,0.10
4.056442,0.1103,0.0535,-0.0157,0.12
4.061644,0.0591,0.0047,0.0247,0.06
4.072640,0.0627,0.0477,-0.0156,0.08
4.080413,0.0545,0.0098,-0.0467,0.07
4.089700,0.0973,0.0174,0.0089,0.10
4.099285,0.1159,0.0499,-0.0391,0.13
4.114870,0.0246,-0.0015,-0.0348,0.04
4.120862,0.0188,-0.0400,-0.0123,0.05
4.129861,0.0668,-0.0418,-0.0135,0.08
4.139372,0.0168,-0.0352,0.0374,0.05
4.146970,0.0240,-0.0183,-0.0057,0.03
4.157020,-0.0380,-0.0794,-0.0160,0.09
4.165935,-0.0474,-0.1365,0.0247,0.15
4.175701,-0.0291,-0.0846,0.0528,0.10
4.187700,-0.0669,-0.0847,0.0320,0.11
4.194397,-0.1047,-0.0486,-0.0119,0.12
4.204673,-0.0946,-0.0807,-0.0387,0.13
4.212910,-0.0731,-0.1056,0.0325,0.13
4.223526,-0.0527,-0.0583,0.0392,0.09
4.238706,-0.0969,-0.0780,0.0514,0.13
4.244421,-0.0307,-0.0571,0.0546,0.08
4.254301,0.0171,-0.0194,0.0112,0.03
4.270332,0.0204,-0.0671,0.1049,0.13
4.281205,0.0263,-0.0178,0.0443,0.05
4.289688,-0.0310,0.0176,0.0597,0.07
4.302244,0.0085,-0.0114,0.0511,0.05
4.313661,0.0477,0.0007,0.0491,0.07
4.320199,-0.0141,0.0311,0.0362,0.05
4.329138,0.0019,0.0318,0.0175,0.04
4.337046,0.0484,-0.0180,0.0386,0.06
4.346185,0.0249,0.0182,0.0617,0.07
4.355664,0.0481,0.0790,-0.0267,0.10
4.371017,0.0506,0.0357,-0.0624,0.09
4.377221,0.0429,0.0161,-0.0432,0.06
4.387395,0.0743,0.0273,-0.0936,0.12
4.395433,0.0838,-0.0168,-0.0636,0.11
4.404059,0.0790,0.0145,-0.0808,0.11
4.423000,0.0641,-0.0446,-0.0865,0.12
4.435912,0.0420,-0.0723,-0.0674,0.11
4.445281,0.0277,-0.0359,-0.1060,0.12
4.452276,-0.0379,-0.0526,-0.0968,0.12
4.461615,-0.0389,-0.0728,-0.0792,0.11
4.470649,-0.0438,-0.0519,-0.0530,0.09
4.479943,-0.0897,-0.0511,-0.0145,0.10
4.495438,-0.0534,-0.0592,-0.0283,0.08
4.500888,-0.0539,-0.0987,0.0227,0.11
4.516421,-0.0510,-0.0951,0.0801,0.13
4.517929,-0.0031,-0.0448,0.0363,0.06
4.527546,-0.0554,-0.0607,0.0435,0.09
4.536469,-0.0717,-0.0483,0.0320,0.09
4.546331,-0.0233,-0.0496,0.0113,0.06
4.561214,-0.0423,-0.0477,0.0614,0.09
4.567336,-0.0454,0.0124,0.0469,0.07
4.577622,-0.0281,0.0073,0.0257,0.04
4.585423,-0.0417,-0.0004,0.0726,0.08
4.594398,-0.0281,0.0106,0.0733,0.08
4.603380,-0.0148,0.0086,0.0776,0.08
4.622547,0.0278,0.0251,0.0238,0.04
4.634485,0.0384,-0.0066,0.0431,0.06
4.643097,0.0715,0.0096,0.0244,0.08
4.651538,0.0608,0.0395,0.0037,0.07
4.660508,0.0143,-0.0015,-0.0088,0.02
4.670210,0.0195,-0.0220,-0.0140,0.03
4.685542,-0.0013,-0.0151,0.0074,0.02
4.694013,-0.0445,-0.0033,-0.0089,0.05
4.700174,-0.0672,-0.0153,-0.0245,0.07
4.710012,-0.0938,-0.0525,0.0069,0.11
4.720788,-0.0548,-0.0317,0.0006,0.06
4.726822,-0.0277,-0.0393,0.0051,0.05
4.736010,-0.0485,-0.0506,0.0157,0.07
4.746673,-0.0234,-0.0369,-0.0327,0.05
4.760587,-0.0275,-0.0619,-0.0157,0.07
4.768201,-0.0301,-0.0529,-0.0167,0.06
4.775831,-0.0281,-0.0269,-0.0619,0.07
4.784898,-0.0648,-0.0463,-0.0507,0.09
4.794881,-0.0358,-0.0434,-0.0586,0.08
4.802818,-0.0025,-0.0134,-0.0526,0.05
4.817654,-0.0314,-0.0121,-0.0455,0.06
4.823821,-0.0174,-0.0016,-0.0724,0.07
4.833858,0.0042,-0.0005,-0.0476,0.05
4.851141,0.0351,0.0509,-0.0637,0.09
4.860104,0.0167,0.0353,-0.0205,0.04
4.869864,0.0239,0.0506,-0.0070,0.06
4.883857,0.0651,0.0736,-0.0194,0.10
4.890541,0.0450,0.0401,0.0323,0.07
4.899664,0.0589,0.0530,0.0245,0.08
4.907877,0.0880,0.0729,0.0197,0.12
4.917437,0.0688,0.0593,0.0446,0.10
4.926218,0.0554,0.0578,0.0275,0.08
4.935687,0.0500,0.0365,0.0250,0.07
4.950815,0.0337,0.0396,0.0639,0.08
4.956050,0.0487,0.0597,0.0468,0.09
4.966069,0.0148,0.0261,0.0728,0.08
4.974459,0.0017,0.0174,0.0830,0.08
4.983948,-0.0016,0.0112,0.0853,0.09
4.993656,-0.0220,-0.0089,0.0993,0.10
5.006995,-0.0495,-0.0124,0.0612,0.08
5.015256,-0.0633,-0.0285,0.0546,0.09
5.024681,-0.0597,-0.0570,0.0865,0.12
5.041319,-0.0292,-0.0097,-0.0697,0.08
5.051751,-0.0708,-0.0982,0.0070,0.12
5.065452,0.0318,-0.0557,0.0708,0.10
5.071967,0.0644,0.0680,0.0542,0.11
5.081720,-0.0766,0.0575,-0.0499,0.11
5.089933,-0.0865,-0.0621,-0.1260,0.17
5.098551,0.0032,-0.0906,-0.0052,0.09
5.108012,0.0674,0.0484,0.0630,0.10
5.117992,-0.0103,0.1069,-0.0282,0.11
5.132723,-0.1150,0.0025,-0.1074,0.16
5.139746,-0.0713,-0.0514,-0.0951,0.13
5.148989,0.0427,-0.0138,-0.0487,0.07
5.156911,0.0328,0.0664,-0.0638,0.10
5.164381,-0.0286,0.0961,-0.1673,0.19
5.175740,-0.0397,0.0180,-0.1046,0.11
5.184039,0.0337,0.0189,0.0086,0.04
5.197095,0.0541,0.1520,-0.0683,0.18
5.205989,-0.0637,0.1272,-0.1825,0.23
5.215051,-0.0835,-0.0176,-0.1395,0.16
5.222868,0.0645,0.0109,0.0035,0.07
5.241017,-0.0207,0.1410,-0.0174,0.14
5.250063,-0.0498,0.0461,-0.1084,0.13
5.263577,0.0462,-0.0134,-0.0147,0.05
5.272306,0.1452,0.0576,0.0720,0.17
5.280197,0.1132,0.1298,0.0413,0.18
5.288720,0.0265,0.1064,0.0082,0.11
5.297983,0.0405,0.0257,0.0392,0.06
5.308038,0.0859,-0.0071,0.1099,0.14
5.316757,0.0183,0.0326,0.1177,0.12
5.326077,-0.0471,0.0396,0.0661,0.09
5.339597,-0.0473,-0.0158,0.0789,0.09
5.346353,-0.0465,-0.0142,0.1188,0.13
5.355281,-0.0672,0.0150,0.0724,0.10
5.364237,-0.0896,-0.0258,0.0610,0.11
5.374066,-0.0716,-0.0136,0.0818,0.11
5.388251,0.0041,0.0309,-0.0167,0.04
