# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-02-27 18:37:14.916
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004206,0.0050,0.1544,0.2511,0.29
0.013372,0.0457,0.1537,0.1930,0.25
0.018611,0.1015,0.1566,0.1564,0.24
0.032496,0.2002,0.1714,0.1621,0.31
0.039934,0.3007,0.1875,0.2421,0.43
0.046080,0.3343,0.1620,0.3204,0.49
0.058419,0.3096,0.1184,0.3483,0.48
0.066360,0.2163,0.0791,0.2851,0.37
0.075545,0.1270,0.0626,0.3255,0.35
0.091834,0.0955,0.0201,0.3255,0.34
0.100435,0.0413,-0.0195,0.2318,0.24
0.108724,-0.0476,-0.0342,0.0752,0.10
0.116862,-0.1495,-0.0459,-0.0835,0.18
0.123478,-0.2115,-0.0756,-0.1870,0.29
0.142486,-0.0548,-0.0403,-0.2036,0.21
0.158836,0.0348,-0.0209,-0.1693,0.17
0.161123,0.0808,-0.0209,-0.1712,0.19
0.175187,0.0686,-0.0415,-0.1629,0.18
0.180062,0.0082,-0.0602,-0.1571,0.17
0.193026,-0.0445,-0.0730,-0.1783,0.20
0.199201,-0.0917,-0.0674,-0.1804,0.21
0.208300,-0.1063,-0.0426,-0.1568,0.19
0.224285,-0.0825,-0.0054,-0.1573,0.18
0.227631,-0.0667,0.0141,-0.1542,0.17
0.241773,-0.0182,0.0054,-0.1120,0.11
0.246918,0.0206,0.0005,-0.0104,0.02
0.258817,0.0422,-0.0120,0.1240,0.13
0.265420,0.0511,0.0032,0.2141,0.22
0.274962,0.0123,0.0099,0.2673,0.27
0.291519,-0.0349,0.0008,0.2851,0.29
0.293730,-0.0541,-0.0075,0.2506,0.26
0.308274,-0.0703,-0.0108,0.1748,0.19
0.313349,-0.0667,0.0048,0.0904,0.11
0.325013,-0.0531,0.0456,0.0170,0.07
0.340080,-0.0677,0.0877,-0.0441,0.12
0.347540,-0.0703,0.1096,-0.0877,0.16
0.354587,-0.0598,0.1109,-0.0911,0.16
0.370191,-0.0215,0.0834,-0.0229,0.09
0.381091,0.0015,0.0919,-0.0168,0.09
0.390087,0.0572,0.0763,0.0024,0.10
0.402464,0.0854,0.0731,0.0115,0.11
0.408551,0.0557,0.0619,-0.0296,0.09
0.420271,0.0398,0.0214,-0.0976,0.11
0.428382,0.0270,-0.0119,-0.1129,0.12
0.436172,-0.0350,-0.0231,-0.0596,0.07
0.446041,-0.1167,-0.0246,-0.0031,0.12
0.456186,-0.1700,-0.0382,0.0150,0.17
0.471290,-0.2165,-0.0592,0.0391,0.23
0.479370,-0.2259,-0.0935,0.0867,0.26
0.486391,-0.2114,-0.1308,0.1166,0.27
0.494504,-0.1934,-0.1460,0.1075,0.27
0.503224,-0.1524,-0.1412,0.0847,0.22
0.514702,-0.0907,-0.1433,0.0860,0.19
0.531822,-0.0629,-0.0988,-0.0157,0.12
0.545668,-0.0518,-0.0671,-0.1348,0.16
0.553828,-0.0199,-0.0317,-0.1599,0.16
0.560875,-0.0172,0.0238,-0.1110,0.11
0.570417,-0.0359,0.0758,-0.1147,0.14
0.579577,-0.0149,0.0961,-0.1687,0.19
0.595783,0.0264,0.0792,-0.1946,0.21
0.602128,0.0439,0.0492,-0.1488,0.16
0.611422,0.0740,0.0144,-0.0870,0.12
0.619132,0.0866,0.0253,-0.0389,0.10
0.627306,0.0769,0.0413,-0.0103,0.09
0.636745,0.0909,0.0462,0.0205,0.10
0.646129,0.0994,0.0116,0.0550,0.11
0.662468,0.0364,-0.0192,0.0815,0.09
0.668946,0.0020,-0.0384,0.0856,0.09
0.675935,-0.0119,-0.0419,0.1305,0.14
0.687854,-0.0351,-0.0342,0.1932,0.20
0.695099,-0.0374,-0.0307,0.2028,0.21
0.703594,-0.0373,-0.0120,0.1802,0.18
0.721888,-0.0035,-0.0039,0.2201,0.22
0.734960,-0.0184,0.0141,0.2784,0.28
0.743290,-0.0445,0.0450,0.2389,0.25
0.751413,-0.0603,0.0661,0.1495,0.17
0.760121,-0.0545,0.0058,0.1070,0.12
0.770090,-0.0506,-0.0224,0.1439,0.15
0.783701,-0.1343,-0.0448,0.1896,0.24
0.792143,-0.2078,-0.0211,0.1558,0.26
0.801333,-0.1551,0.0193,0.0773,0.17
0.809542,-0.1193,0.0234,0.0638,0.14
0.817690,-0.1015,0.0108,0.0308,0.11
0.826101,-0.1065,-0.0209,0.0338,0.11
0.835891,-0.1065,-0.0405,0.0718,0.13
0.847886,-0.1185,-0.0471,0.0496,0.14
0.861523,-0.1562,-0.0470,-0.0791,0.18
0.868195,-0.1549,-0.0716,-0.2473,0.30
0.876027,-0.1103,-0.0969,-0.3289,0.36
0.884481,-0.0466,-0.0751,-0.2705,0.28
0.893259,-0.0254,-0.0195,-0.2311,0.23
0.902871,-0.0439,0.0734,-0.3109,0.32
0.917980,-0.0247,0.1103,-0.4405,0.45
0.924448,0.0409,0.1361,-0.4910,0.51
0.933823,0.0989,0.1551,-0.4428,0.48
0.951587,-0.0015,0.1833,-0.3221,0.37
0.960666,-0.0097,0.1781,-0.3349,0.38
0.969670,0.0663,0.1797,-0.3495,0.40
0.979416,0.1250,0.1768,-0.3235,0.39
0.992844,0.1923,0.1713,-0.2471,0.36
1.001451,0.2317,0.1736,-0.1179,0.31
1.008843,0.2155,0.1469,0.0060,0.26
1.017284,0.1826,0.1330,0.0536,0.23
1.026088,0.0746,0.0687,0.0348,0.11
1.037020,-0.0362,-0.0215,0.0537,0.07
1.050424,-0.1107,-0.0567,0.1482,0.19
1.057610,-0.1816,-0.0523,0.2680,0.33
1.066698,-0.1882,-0.0441,0.3266,0.38
1.074215,-0.1834,-0.0567,0.3423,0.39
1.083513,-0.1166,-0.1027,0.3318,0.37
1.093079,0.0037,-0.1437,0.4166,0.44
1.109050,0.0435,-0.1316,0.5602,0.58
1.123935,-0.0162,-0.0509,0.5165,0.52
1.131444,-0.0447,-0.0452,0.3390,0.34
1.140674,-0.0016,-0.0594,0.2215,0.23
1.149915,0.0318,-0.0461,0.2157,0.22
1.159666,0.0663,-0.0414,0.3051,0.31
1.172551,0.1666,0.0021,0.3453,0.38
1.180541,0.2419,0.0767,0.2846,0.38
1.188443,0.2698,0.1364,0.1683,0.35
1.198028,0.2706,0.1627,-0.0050,0.32
1.209783,0.2332,0.1567,-0.1300,0.31
1.216464,0.1983,0.1487,-0.1123,0.27
1.226403,0.1627,0.1620,-0.1052,0.25
1.239166,0.1421,0.1349,-0.1957,0.28
1.247708,0.1656,0.0556,-0.2755,0.33
1.255660,0.1700,-0.0363,-0.3514,0.39
1.264411,0.1312,-0.1125,-0.3202,0.36
1.277778,0.0467,-0.1419,-0.2414,0.28
1.284045,-0.0970,-0.1062,-0.2791,0.31
1.292848,-0.2007,-0.0374,-0.3934,0.44
1.305272,-0.3063,0.0187,-0.5740,0.65
1.314215,-0.4315,0.0057,-0.7124,0.83
1.331744,-0.4778,-0.1556,-0.5708,0.76
1.340428,-0.4346,-0.2185,-0.3807,0.62
1.350115,-0.4230,-0.2072,-0.3084,0.56
1.363695,-0.4537,-0.1629,-0.3592,0.60
1.371913,-0.4663,-0.1132,-0.3522,0.60
1.378832,-0.4702,-0.0413,-0.2873,0.55
